model,baseline,run_name,num_scored,source_accuracy,channel_accuracy,mechanism_accuracy,component_accuracy,impact_accuracy,block_point_match_rate,mean_failure_chain_overlap
gpt-5-4,naive,20260414_021742__split-test__baseline-naive__model-gpt-5-4__tag-v0-1,30,0.400,0.333,0.333,0.067,0.300,0.333,0.000
gpt-5-4,guarded,20260414_023602__split-test__baseline-guarded__model-gpt-5-4__tag-v0-1,29,0.310,0.310,0.345,0.034,0.379,0.310,0.000
gpt-5-4,attribution_aware,20260414_025202__split-test__baseline-attribution-aware__model-gpt-5-4__tag-v0-1,29,0.345,0.310,0.379,0.034,0.379,0.276,0.000
gpt-4o,naive,20260415_064741__split-test__baseline-naive__model-gpt-4o__tag-v0-1,25,0.280,0.320,0.200,0.040,0.240,0.320,0.000
gpt-4o,guarded,20260415_071124__split-test__baseline-guarded__model-gpt-4o__tag-v0-1,21,0.286,0.429,0.286,0.048,0.095,0.238,0.000
gpt-4o,attribution_aware,20260415_073202__split-test__baseline-attribution-aware__model-gpt-4o__tag-v0-1,20,0.250,0.500,0.200,0.050,0.200,0.350,0.000
deepseek-v3-2,naive,20260416_004604__split-test__baseline-naive__model-deepseek-v3-2__tag-v0-1,20,0.200,0.400,0.300,0.000,0.150,0.450,0.000
deepseek-v3-2,guarded,20260416_010815__split-test__baseline-guarded__model-deepseek-v3-2__tag-v0-1,19,0.053,0.474,0.263,0.053,0.105,0.368,0.000
deepseek-v3-2,attribution_aware,20260416_013009__split-test__baseline-attribution-aware__model-deepseek-v3-2__tag-v0-1,23,0.261,0.478,0.348,0.087,0.217,0.391,0.000
kimi-k2-5,naive,20260417_010059__split-test__baseline-naive__model-kimi-k2-5__tag-v0-1,25,0.480,0.360,0.280,0.040,0.400,0.320,0.000
kimi-k2-5,guarded,20260417_011826__split-test__baseline-guarded__model-kimi-k2-5__tag-v0-1,23,0.565,0.348,0.217,0.087,0.478,0.304,0.000
gpt-4o-mini,naive,20260421_055630__split-test__baseline-naive__model-gpt-4o-mini__tag-v0-1,30,0.200,0.400,0.233,0.000,0.167,0.400,0.000
gpt-5,naive,20260421_061219__split-test__baseline-naive__model-gpt-5__tag-v0-1,23,0.478,0.348,0.261,0.000,0.522,0.304,0.000
deepseek-v4-pro,naive,20260427_044334__split-test__baseline-naive__model-deepseek-v4-pro__tag-v0-1,36,0.306,0.361,0.333,0.028,0.250,0.278,0.000
deepseek-v4-flash,naive,20260427_054042__split-test__baseline-naive__model-deepseek-v4-flash__tag-v0-1,36,0.194,0.333,0.306,0.028,0.222,0.250,0.000
claude-opus-4-6,naive,20260427_061026__split-test__baseline-naive__model-claude-opus-4-6__tag-v0-1,20,0.400,0.450,0.400,0.100,0.350,0.300,0.000
