model,baseline,split,num_runs,num_evaluable_runs,infra_failed_rate,TSR,SVR,STCR,ASR,resource_overrun_rate,latent_violation_rate,run_name
claude-opus-4-6,naive,test,40,32,0.2,0.8125,0.625,0.1875,0.45,0.375,0.0625,20260427_061026__split-test__baseline-naive__model-claude-opus-4-6__tag-v0-1
deepseek-v3-2,naive,test,40,40,0.0,0.35,0.5,0.075,0.6,0.2,0.125,20260416_004604__split-test__baseline-naive__model-deepseek-v3-2__tag-v0-1
deepseek-v3-2,guarded,test,40,40,0.0,0.375,0.475,0.1,0.55,0.15,0.1,20260416_010815__split-test__baseline-guarded__model-deepseek-v3-2__tag-v0-1
deepseek-v3-2,attribution_aware,test,40,40,0.0,0.425,0.575,0.075,0.65,0.25,0.15,20260416_013009__split-test__baseline-attribution-aware__model-deepseek-v3-2__tag-v0-1
deepseek-v4-flash,naive,test,40,40,0.0,0.825,0.9,0.075,0.8,0.35,0.225,20260427_054042__split-test__baseline-naive__model-deepseek-v4-flash__tag-v0-1
deepseek-v4-pro,naive,test,40,40,0.0,0.9,0.9,0.1,0.8,0.275,0.275,20260427_044334__split-test__baseline-naive__model-deepseek-v4-pro__tag-v0-1
gemini-3-1-pro-preview,naive,test,40,39,0.025,0.8205128205128205,0.717948717948718,0.1282051282051282,0.47368421052631576,0.23076923076923078,0.0,20260427_071026__split-test__baseline-naive__model-gemini-3-1-pro-preview__tag-v0-1
gpt-4o,naive,test,40,28,0.0,0.8214285714285714,0.8928571428571429,0.03571428571428571,0.8888888888888888,0.175,0.2,20260415_064741__split-test__baseline-naive__model-gpt-4o__tag-v0-1
gpt-4o,guarded,test,40,30,0.0,0.8333333333333334,0.7,0.13333333333333333,0.631578947368421,0.2,0.075,20260415_071124__split-test__baseline-guarded__model-gpt-4o__tag-v0-1
gpt-4o,attribution_aware,test,40,29,0.0,0.7931034482758621,0.6896551724137931,0.1724137931034483,0.631578947368421,0.2,0.1,20260415_073202__split-test__baseline-attribution-aware__model-gpt-4o__tag-v0-1
gpt-4o-mini,naive,test,40,40,0.0,0.7,0.75,0.025,0.9,0.2,0.225,20260421_055630__split-test__baseline-naive__model-gpt-4o-mini__tag-v0-1
gpt-5,naive,test,40,39,0.025,0.7435897435897436,0.5897435897435898,0.15384615384615385,0.4,0.23076923076923078,0.0,20260421_061219__split-test__baseline-naive__model-gpt-5__tag-v0-1
gpt-5-4,naive,test,40,40,0.0,0.975,0.75,0.15,0.5,0.275,0.0,20260414_021742__split-test__baseline-naive__model-gpt-5-4__tag-v0-1
gpt-5-4,guarded,test,40,40,0.0,0.95,0.725,0.175,0.45,0.325,0.0,20260414_023602__split-test__baseline-guarded__model-gpt-5-4__tag-v0-1
gpt-5-4,attribution_aware,test,40,39,0.0,0.9743589743589743,0.7435897435897436,0.15384615384615385,0.47368421052631576,0.275,0.0,20260414_025202__split-test__baseline-attribution-aware__model-gpt-5-4__tag-v0-1
grok-4-20-non-reasoning,naive,test,40,0,0.9,,,,,,,20260421_073836__split-test__baseline-naive__model-grok-4-20-non-reasoning__tag-v0-1
kimi-k2-5,naive,test,40,40,0.0,0.75,0.625,0.125,0.5,0.325,0.05,20260417_010059__split-test__baseline-naive__model-kimi-k2-5__tag-v0-1
kimi-k2-5,guarded,test,40,40,0.0,0.75,0.575,0.15,0.45,0.275,0.025,20260417_011826__split-test__baseline-guarded__model-kimi-k2-5__tag-v0-1
